                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.52563,                0.61631,                0.59987,                0.86671,                0.98404,                      1,                  0.995,                0.89879,                0.98404,                      1,                  0.995,                0.90449,                0.45315,                0.46042,                0.51639,                0.80137,              0.0011774,              0.0011774,              0.0011774
                     91,                 0.4592,                0.50829,                0.56715,                0.82276,                0.98404,                      1,                  0.995,                0.89879,                0.98404,                      1,                  0.995,                0.90449,                0.45315,                0.46042,                0.51639,                0.80137,              0.0011719,              0.0011719,              0.0011719
                     92,                0.48627,                0.54854,                0.62189,                0.85557,                0.98685,                0.97835,                0.99423,                0.87346,                0.98685,                0.97835,                0.99423,                0.88931,                0.47059,                0.50602,                0.51583,                0.80886,              0.0011664,              0.0011664,              0.0011664
                     93,                 0.5305,                0.50938,                0.60782,                 0.8696,                0.98685,                0.97835,                0.99423,                0.87346,                0.98685,                0.97835,                0.99423,                0.88931,                0.47059,                0.50602,                0.51583,                0.80886,              0.0011609,              0.0011609,              0.0011609
                     94,                0.49308,                0.49149,                0.59814,                0.83639,                0.98193,                0.99111,                  0.995,                0.89489,                0.98193,                0.99111,                  0.995,                0.89572,                 0.4663,                0.56865,                 0.5075,                0.80865,              0.0011554,              0.0011554,              0.0011554
                     95,                 0.4251,                0.49363,                0.61553,                0.85511,                0.98193,                0.99111,                  0.995,                0.89489,                0.98193,                0.99111,                  0.995,                0.89572,                 0.4663,                0.56865,                 0.5075,                0.80865,              0.0011499,              0.0011499,              0.0011499
                     96,                0.50383,                0.52415,                 0.6078,                 0.8637,                0.92581,                0.99313,                  0.995,                0.90332,                0.92581,                0.99313,                  0.995,                0.90816,                0.45964,                0.51109,                0.53976,                0.80307,              0.0011444,              0.0011444,              0.0011444
                     97,                0.47098,                0.46941,                0.58724,                0.84634,                0.92581,                0.99313,                  0.995,                0.90332,                0.92581,                0.99313,                  0.995,                0.90816,                0.45964,                0.51109,                0.53976,                0.80307,              0.0011389,              0.0011389,              0.0011389
                     98,                0.49312,                0.59541,                0.59646,                0.85773,                0.95813,                0.94736,                  0.995,                0.91657,                0.95813,                0.94736,                  0.995,                0.91302,                0.42001,                0.43964,                  0.556,                0.79313,              0.0011334,              0.0011334,              0.0011334
                     99,                 0.4375,                0.51045,                 0.5771,                0.83225,                0.95813,                0.94736,                  0.995,                0.91657,                0.95813,                0.94736,                  0.995,                0.91302,                0.42001,                0.43964,                  0.556,                0.79313,              0.0011279,              0.0011279,              0.0011279
                    100,                0.48669,                0.54284,                0.57031,                0.86159,                0.96554,                0.96915,                  0.995,                0.90887,                0.96554,                0.96915,                  0.995,                0.89085,                0.41733,                0.50941,                0.52993,                0.79087,              0.0011224,              0.0011224,              0.0011224
                    101,                0.51015,                0.58305,                0.57729,                0.84189,                0.96554,                0.96915,                  0.995,                0.90887,                0.96554,                0.96915,                  0.995,                0.89085,                0.41733,                0.50941,                0.52993,                0.79087,              0.0011169,              0.0011169,              0.0011169
                    102,                0.46189,                0.48451,                0.54082,                0.83899,                0.97067,                  0.983,                  0.995,                0.91694,                0.97067,                  0.983,                  0.995,                0.86773,                0.41696,                0.56386,                0.50287,                0.79043,              0.0011114,              0.0011114,              0.0011114
