                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                 1.5084,                0.85216,                 1.1147,                0.85608,                  0.875,                0.89367,                0.41198,                  1.636,                0.88626,                 1.0336,              0.0012344,              0.0012344,              0.0012344
                    118,                 1.5561,                0.89483,                  1.131,                0.85625,                0.85938,                0.87986,                 0.3961,                 1.7331,                0.89878,                 1.0599,              0.0012278,              0.0012278,              0.0012278
                    119,                 1.6055,                0.90823,                 1.1232,                 0.8341,                0.86418,                0.87702,                 0.4156,                 1.6929,                0.88354,                 1.0531,              0.0012212,              0.0012212,              0.0012212
                    120,                 1.5057,                0.87183,                 1.1145,                0.90293,                0.87211,                0.92397,                0.45868,                 1.6279,                0.85782,                 1.0401,              0.0012146,              0.0012146,              0.0012146
                    121,                 1.4905,                0.86336,                 1.0924,                0.92767,                  0.875,                0.92629,                0.42215,                 1.7201,                0.89067,                 1.0559,               0.001208,               0.001208,               0.001208
                    122,                 1.4985,                0.84753,                 1.0619,                0.92621,                0.85938,                0.92793,                0.43834,                 1.6418,                0.82286,                  1.037,              0.0012014,              0.0012014,              0.0012014
                    123,                 1.5009,                0.85498,                 1.0935,                0.87417,                0.89062,                0.90445,                 0.4222,                 1.6511,                0.84797,                 1.0338,              0.0011948,              0.0011948,              0.0011948
                    124,                 1.5059,                0.81677,                 1.0781,                0.93212,                0.85822,                0.91407,                 0.4098,                 1.7385,                0.87809,                 1.0399,              0.0011882,              0.0011882,              0.0011882
                    125,                 1.4488,                 0.8043,                 1.1248,                0.89982,                0.84209,                0.87745,                0.41264,                 1.6292,                0.84486,                 1.0272,              0.0011816,              0.0011816,              0.0011816
                    126,                 1.4841,                0.80152,                 1.0953,                0.86699,                0.85938,                0.88923,                0.40676,                  1.641,                 0.8533,                 1.0289,               0.001175,               0.001175,               0.001175
                    127,                 1.4584,                0.82522,                 1.1143,                0.82053,                0.79688,                0.81517,                0.37437,                 1.7873,                0.88788,                 1.0746,              0.0011684,              0.0011684,              0.0011684
                    128,                 1.5794,                0.83564,                 1.0911,                0.79888,                0.73438,                0.74932,                0.35115,                 1.7924,                0.93121,                 1.0852,              0.0011618,              0.0011618,              0.0011618
                    129,                 1.5777,                0.84748,                 1.1118,                0.87826,                 0.8125,                0.84272,                 0.3795,                 1.7799,                0.89655,                 1.0644,              0.0011552,              0.0011552,              0.0011552
                    130,                 1.5081,                0.84129,                 1.1183,                0.88265,                0.82272,                0.82924,                0.37985,                 1.7541,                0.90018,                 1.0618,              0.0011486,              0.0011486,              0.0011486
                    131,                  1.569,                0.83148,                 1.0686,                 0.8679,                0.82132,                0.85778,                 0.3948,                 1.8021,                0.94713,                 1.0794,               0.001142,               0.001142,               0.001142
                    132,                 1.4734,                0.81595,                 1.0981,                0.91739,                0.86768,                0.88914,                0.39587,                 1.7709,                 0.9191,                 1.0638,              0.0011354,              0.0011354,              0.0011354
                    133,                  1.554,                0.86095,                 1.0504,                 0.9019,                  0.875,                 0.9075,                0.40487,                 1.8044,                0.89511,                 1.0923,              0.0011288,              0.0011288,              0.0011288
                    134,                  1.575,                0.84957,                 1.1539,                0.91648,                0.85735,                0.90238,                0.43707,                 1.6556,                0.90053,                 1.0346,              0.0011222,              0.0011222,              0.0011222
                    135,                 1.5031,                0.80888,                 1.0817,                0.89969,                0.84375,                0.88493,                0.43132,                 1.6891,                0.94135,                 1.0648,              0.0011156,              0.0011156,              0.0011156
                    136,                 1.5197,                0.85027,                 1.0961,                0.91893,                0.84375,                0.90058,                0.42681,                 1.6351,                0.88806,                 1.0365,               0.001109,               0.001109,               0.001109
                    137,                 1.4575,                0.80678,                 1.0872,                0.86346,                0.79052,                 0.8288,                 0.4092,                 1.6846,                0.84008,                  1.057,              0.0011024,              0.0011024,              0.0011024
                    138,                 1.4717,                0.81274,                 1.0707,                0.91299,                0.84375,                0.89981,                0.40907,                 1.7325,                0.86609,                 1.0695,              0.0010958,              0.0010958,              0.0010958
                    139,                 1.4806,                0.83904,                 1.1075,                  0.919,                0.88646,                0.90638,                0.42223,                 1.6927,                0.88817,                 1.0448,              0.0010892,              0.0010892,              0.0010892
                    140,                 1.4527,                0.76505,                 1.0632,                0.81982,                0.84375,                0.87411,                0.40375,                 1.6975,                0.93642,                 1.0597,              0.0010826,              0.0010826,              0.0010826
                    141,                  1.505,                0.79546,                  1.069,                 0.9194,                0.85938,                 0.9098,                0.42499,                 1.6966,                0.87115,                 1.0268,               0.001076,               0.001076,               0.001076
                    142,                 1.4714,                0.80928,                 1.0509,                0.92474,                  0.875,                0.91542,                0.43021,                 1.6937,                0.85109,                 1.0434,              0.0010694,              0.0010694,              0.0010694
                    143,                 1.4542,                0.77507,                 1.0749,                0.91084,                  0.875,                0.89267,                0.41814,                 1.7888,                0.89453,                 1.0718,              0.0010628,              0.0010628,              0.0010628
                    144,                 1.4517,                0.78601,                  1.089,                0.91675,                0.84375,                0.89723,                0.39097,                 1.8349,                0.90862,                 1.0953,              0.0010562,              0.0010562,              0.0010562
                    145,                 1.4399,                0.75215,                 1.0338,                0.86923,                0.83092,                0.89286,                0.37964,                  1.855,                0.88391,                 1.0897,              0.0010496,              0.0010496,              0.0010496
                    146,                 1.4913,                 0.8136,                 1.0712,                0.84645,                0.82812,                0.87039,                0.39943,                 1.7586,                0.91964,                 1.0481,               0.001043,               0.001043,               0.001043
                    147,                 1.4822,                0.78187,                 1.0658,                0.89425,                 0.8125,                0.88001,                0.40338,                 1.7476,                0.90683,                 1.0587,              0.0010364,              0.0010364,              0.0010364
                    148,                 1.4852,                0.81847,                 1.0587,                0.86032,                0.84375,                0.87788,                0.40455,                 1.7243,                0.84007,                 1.0445,              0.0010298,              0.0010298,              0.0010298
